User Name,Sex,Comments,Likes,Replies
一起吃空心菜,男,如何安装steam哈哈哈哈哈哈哈太全面了,6,
灵潇X,女,如何打破信息壁垒。现在这个社会很多时候都是信息战，最近就因为消息闭塞知道的太晚，导致没找到好的见习单位[大哭],5,
菲菲霏霏常美丽的巨兔,女,蹲网课,7,
布朗尼的小甜甜,保密,我想重新选修[脱单doge],6,
风如心动,保密,很需要 虽然明面上家里说不用操心，但需要对生活盲区有一点了解 比如水电费的坑。,5,
i黑米荞麦i,女,建议在所有学校推广,3,
薇特Violet,男,这个课要是做的好的还，厨子老师说不定可以影响全国大学生！加油！[打call],3,
关你屁事O_o关我屁事,女,我真的很需要看病指南，其实我在高二才知道原来看病需要挂号……高三的时候被蜜蜂蛰了一直都是一个人住，拍照给我妈，我妈让我上点蜂蜜，到学校后就越来越严重到整个小腿都是肿的。后来给我老师看，他看到之后立马给我批了假条，让我去中医院看(要知道高三了假条这个东西要不是真烧到38度，家长软磨硬泡都不好使)但我连号都不会挂，当时把我所有能带的卡都带上了[笑哭]，去的时候都快下班了，火急火燎的到处跑还要打针拿药，来来回回的绕晕了都走一步问一步i人真的很想死,3,
维希Vici,女,是这样的，工作后才发现自己不会生活，不会好好照顾自己，静不下心做家务，管理不好时间。现在通过做手帐计划、记录和复盘在开始慢慢改变，期待在老师这里学到更多☺️,3,
nntrman,保密,为啥没有这样子的课呢？是不是因为这些课出了社会自己慢慢就懂了，而高等数学这种没人教是不会慢慢懂的，而且大学培养一个人才本来就是亏本的，没必要耗费人力、时间去学习这些知识，而且，真正听这些课的有多少呢？大一教你怎么挑菜，你认真听吗？你记得住吗？你毕业了能记住多少呢？你别和我说这种课学到的知识你会按照遗忘曲线来回复习，而且到需要的时候你会翻开书本去查找吗？手机直接搜索，需要的时候就看一下不比这方便很了？,2,
BK-201-Li,保密,我个人很讨厌慕课，而喜欢老师正常讲，然后录下来的那种,3,
一曲清愁,女,真的非常非常需要，独自面对这个社会真的感觉很惶恐很不安，我们所学的知识并不能解决生活的困境 而有些问题问父母他们又说：“你一个成年人，怎么不会呢？”但从小到大，我所受到的教育就是你好好学习就可以了别的不用操心，为什么突然就要求我成为一个熟练周全的大人了呢？,3,
呆槑h,保密,需要啊啊啊啊啊啊真的非常需要啊啊啊啊啊[大哭][大哭][大哭][大哭][大哭]支持老师录成网课发出来[打call][给心心][给心心],5,
兔兔的猫咪,男,社畜也很需要[大哭],5,
该账号无法登陆,保密,老师  开个慕课吧  实在不行B站网课也行  真的好需要好需要  最近刚买了高铁票  每天都在看视频脑子里面过怎么坐高铁 [大哭],2,
北极长西瓜-,保密,我只知道看病怎么看，但是不知道想检查一下眼睛度数呀之类的一些检查怎么看，该挂什么科,3,
再馋芒果就紫砂,保密,做饭的基本逻辑：不要灵机一动,3,
网友陈怀安爱喝青菜汤,保密,确实，我都不知道去医院，坐高铁，订酒店等事情的流程[笑哭],2,
kkakjh,保密,老师，求网课,4,
王大可好吃肉,女,能不能加一个新电脑拿到手后需要设置哪些,2,
不会起昵称好头疼,保密,有很多应届毕业生能申请的补贴福利，我以前都不知道，完全错过了,4,
甲鱼碎碎念,保密,球球老师开网课叭老师真的很好[大哭][大哭]毕业了也想看,4,
波力个波里七,女,[大哭]说实在的，好感动。我也是一名师范生，但是我还是很迷茫，我在想我该怎么去寻找自己的人生理想，我也想成为这样的老师，教实用的知识，切切实实的让大家都得到帮助,2,
Tsing2223,女,长时间的生活在校园环境中看似是保护了自己，实际是与社会产生了脱节,3,
法尼培南,保密,开网课吧老师！拜托了,3,
无言wy_,保密,老师求个网课！！,3,
Derpot,女,我滴妈这可太重要了，老师你是我恩人啊[大哭],4,
清嘉丷,女,老师记得讲五险一金以及医保 有些考公的朋友可能会担心丢失应届生身份不知道如何单独交医保，虽然每个地区不一样但可以讲讲如何询问找哪个部门，例如深圳的医保现在并到税务去了 所以要去问税务局（不知道是不是全国都这样,2,
锦鲤梓暮,女,那个之前有一个网红叫什么小张，拍过很多类似up说的这种视频，不知道up这个课是怎么样的🤔,2,
冷冻汤圆,保密,太牛了太牛了真的很需要这些[打call],3,
龙蕾莎米婭,女,狠狠蹲住[给心心][给心心],4,
上下左游,保密,老师能不能开网课啊，我一定好好学[给心心],3,
和好的混血,男,网课网课必须网课，这才是当代大学生应该需要的，而不是各种无聊的水课,2,
合鸟pigeon,保密,老师，我给你投的币能算学费吗[脱单doge],5,
只想躺平作咸鱼,保密,如何养活自己，包括为自己的未来的养老金，财产管理[星星眼],3,
听风聊雨,男,在哪看,4,
当然是小原啦,男,wow本大学生深深共情了，之前就想过大家的生活技能不是很够，想要做一个网站来教大家如何在大学里面生活，但是后面梳理了之后发现这个工作量实在是太大了！就放弃了。现在看到up主做的这个事情真的很感动！如果up需要相关的帮助，我可以帮助整理出文档放在网上，[脱单doge][脱单doge],2,
Flash-Egg,保密,等等，如何安装Steam？嗯？[doge],3,
年鳝鳗秋鱼子酱,保密,大学多背几个锅就老实了[微笑][微笑],4,
江户川鸭南,男,哎呀，老师怎么选课结束发视频，来不及抢了[大哭],3,
可乐run,男,upup[大哭]，建议再加一个如何选电话卡、充足流量卡、以及如何抢火车动车票，真的很需要,1,
诡生iy,男,厨房知识表示不用，算是我这么一个fw唯一拿得出手的专精领域[doge]，从小同龄小孩玩泥巴，扮奥特曼的时候我就在厨房胡搞乱搞，喝生抽吃鸡精....很上瘾，小学每天写完作业别人家小孩满街疯跑，而我第一步就踏进厨房，开始逐渐做菜，寒暑假家里人都打工，整天就自己搁厨房待着，练刀功土豆丝一切切一天，从来乐此不疲，我妈也很欣慰土豆都是一买一麻袋[妙啊]。高中寄宿放假别人回家都是疯狂玩和睡，我一定要做几道菜避免手生，大学时候一直想考个厨师证，我妈不让，天生就是厨子的天赋兴趣表现异于常人，但别真干成厨子.....[妙啊],2,
卿卿卿爱的,保密,要不做成翻转课堂的形式，然后大家一起分享自己的经验和踩过的坑，这样还能有更多的素材了@,2,
潜夜行567,女,我需要,4,
霖止,保密,那年我刚18岁，我不知道怎么点外卖，什么是付款码……所以我认为这些知识真的很有必要,2,
懒懒第骑士啊,保密,有录课嘛,3,
帅气D-Mo_Han136,男,老师开网课吧，真的很需要，出了校门感觉自己什么也不知道[大哭][大哭],2,
西迪厄斯_天行者,保密,老师开个网课吧[大哭][保佑]你让我花钱都行[保佑][大哭],3,
Ronels,保密,这个太赞了[大哭]，感觉可以多邀请一些有真实经历的人来分享，用故事的形式让大家印象更深刻,2,
一灯之明,保密,好棒啊，更新了我就让学生都关注你！,2,
徐霖宇,女,昨天晚上和室友说了这个问题就是:没人指引让我的过去一败涂地，我的未来一片茫然。不怕大家笑话，我是家里第一个大学生。高考不知道为了什么，考上大学后不知道应该怎么做，马上要毕业了，突然出社会了就觉得割裂感很强。想立刻先工作挣钱补贴家用，想考研继续深造学点真东西（本科基本都在循规蹈矩学书本知识，也玩了很多日子）……高考志愿是随便填的，没人指引，大学里也不知道该怎么去学……不管了反正我会对自己负责,2,
所罗咩是好文明,女,最实用的一集……开个慕课或者b站合集吧老师[委屈],2,
rourou很多,女,"求个网课,本人就处于要好好生活，但生活不好各种别扭挣扎状态ing。说是备考实际连自己都照顾不好[大哭]",2,
不愿透露姓名的愚者,男,老师能不能录课！！！[大哭][大哭][大哭]我也想听，想听的点赞一块上去！,2,
小裙腰,女,有网课了一定踢踢我，球球你[给心心][给心心][给心心],2,
Tayalison,女,Microsoft电脑使用方法,0,
布布屋药匠,保密,老师！网课！,2,
星星在云端上跳舞,女,养老保险,3,
巴别塔妄想,保密,老师 我真的很需要[大哭][大哭][大哭]  辛苦老师了,2,
羽彧轩,男,我虽然不是大学生，但我支持你，出网课！！出钱我也支持（本人抠的要死）,2,
并非饺神,保密,这种课当然会有很多学生需要，他也确实重要。但是开设这门课程的老师需要面面俱到了解这一切这显然是一件工作量极大的事。以现在大学老师的入职要求来看，大部分入职大学的新教师无非都是正常进入大学以后本硕博毕业，而后通过考试进入大学，所以说很多大学老师他本身对社会的组织架构就不会比学生好多少，因为本身在大学这个单位工作对社会的见识还是比较局限的。,1,
Toby同学爱投币,男,有句话说的非常好，你所认为的常识是别人眼里需要学习的知识，这也就是点名的一个很关键的问题，如何界定常识？大学又是一个五湖四海的学生齐聚一堂的一种情况，所以在各个地市之间，民族之间这东西是很难做到明确的区分的。所以最好是先做调研吧，做调查问卷之类的,1,
绿针,保密,他们说长大了就都懂了[永雏塔菲仲夏集_玉玉小菲],2,
会喵喵叫的小鱼,女,"其实我很感谢大学里开的心理健康课程，让我知道了有些不觉得是问题的事情其实已经很严重了，而一些觉得很严重的事情其实只是小事。也终于知道犯错是可以寻求帮助去解决问题的，而不是只会被指责完之后还要独自面对。给了我力量去面对未来必然会遇到的事情。
[保佑]老师，学校教会我们的不是只有知识还有如何好好生活。[给心心]感谢厨子老师的努力~感觉真的会帮到很多人",1,
云心Tin,保密,我国的社会保障法 医疗保险 劳务合同等 进社会还有许多需要学习的东西,0,
xyz皮卡,男,求老师救救,2,
水色紫鸢,保密,大家都说你总会自己学会的，你应该自己长嘴问，但有一些事情，你不了解相关的知识，你甚至都不知道自己应该问……不问又怎么知道呢？不知道又怎么会去问呢？从来没有人教，结果习惯就成了理所当然。真的好喜欢厨子老师的想法呜呜呜，只有我们这种经历过第1次的人才知道这门课的必要性！！！[给心心],1,
